INFO  | 2018-09-26 11:23:56 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:23:59 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:23:59 | [main] ksergie.MainPage (MainPage.java:300) - We are opening the https://exitget.com
INFO  | 2018-09-26 11:23:59 | [main] ksergie.MainPage (MainPage.java:301) - Click the big logo 
INFO  | 2018-09-26 11:23:59 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: logotext
INFO  | 2018-09-26 11:24:00 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: logotext
INFO  | 2018-09-26 11:24:00 | [main] ksergie.EventHandler (EventHandler.java:138) - Just before beforeScript arguments[0].click();
INFO  | 2018-09-26 11:24:02 | [main] ksergie.EventHandler (EventHandler.java:65) - Inside the afterScript to, Script is arguments[0].click();
INFO  | 2018-09-26 11:24:02 | [main] ksergie.MainPage (MainPage.java:303) - Click the small logo 
INFO  | 2018-09-26 11:24:02 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@class='logotext']
INFO  | 2018-09-26 11:24:02 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@class='logotext']
INFO  | 2018-09-26 11:24:02 | [main] ksergie.EventHandler (EventHandler.java:138) - Just before beforeScript arguments[0].click();
INFO  | 2018-09-26 11:24:06 | [main] ksergie.EventHandler (EventHandler.java:65) - Inside the afterScript to, Script is arguments[0].click();
INFO  | 2018-09-26 11:24:06 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:24:09 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:24:09 | [main] ksergie.MainPage (MainPage.java:213) - We are opening the https://exitget.com
INFO  | 2018-09-26 11:24:09 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//div[@id='screenMenu']/a)[1]
INFO  | 2018-09-26 11:24:09 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//div[@id='screenMenu']/a)[1]
